model,accuracy,precision,recall,f1_score,roc_auc,conf_matrix,memory_usage_kb,peak_memory_usage_kb,avg_memory_usage_kb,traced_memory_kb,peak_traced_memory_kb,cpu_usage_percent,peak_cpu_usage_percent,execution_time_seconds,user_cpu_time,system_cpu_time,max_rss_kb,page_faults,context_switches,io_operations,avg_flow_processing_time_ms,min_flow_processing_time_ms,max_flow_processing_time_ms,std_flow_processing_time_ms,if_kb,svm_kb,lof_kb,pca_kb,train_time_seconds,test_time_seconds,flows_processed,flows_per_second
isolation_forest,0.6716666666666666,0.5176470588235295,0.22,0.3087719298245614,0.7275625,"[[359  41]
 [156  44]]",256.0,0.0,0.0,195.6025390625,719.4267578125,430.3,430.3,0.10301899909973145,3.790531,1.098366,405260,0,107010,8,1.247593819789472,0.8647190006740857,6.830392998381285,0.7056719759417244,0.046875,0.046875,0.046875,0.046875,0.6236772537231445,0.10301899909973145,600,5824.168408189904
one_class_svm,0.6716666666666666,0.5180722891566265,0.215,0.303886925795053,0.67616875,"[[360  40]
 [157  43]]",256.0,0.0,0.0,195.6025390625,719.4267578125,430.3,430.3,0.10301899909973145,3.790531,1.098366,405260,0,107010,8,1.247593819789472,0.8647190006740857,6.830392998381285,0.7056719759417244,0.046875,0.046875,0.046875,0.046875,0.6236772537231445,0.10301899909973145,600,5824.168408189904
local_outlier_factor,0.6366666666666667,0.35,0.105,0.16153846153846155,0.4467812500000001,"[[361  39]
 [179  21]]",256.0,0.0,0.0,195.6025390625,719.4267578125,430.3,430.3,0.10301899909973145,3.790531,1.098366,405260,0,107010,8,1.247593819789472,0.8647190006740857,6.830392998381285,0.7056719759417244,0.046875,0.046875,0.046875,0.046875,0.6236772537231445,0.10301899909973145,600,5824.168408189904
