Model,accuracy_Mean,precision_Mean,recall_Mean,f1_score_Mean,roc_auc_Mean,accuracy_Std,precision_Std,recall_Std,f1_score_Std,roc_auc_Std
Flow_Aware_LSH,0.5641666666666667,0.42725739419758646,0.8727499999999999,0.5709143324082613,0.7353368750000001,0.0437940254677127,0.026123470017769403,0.10117095680085267,0.03018561081123476,0.042295871520235284
Isolation_Forest,0.7000833333333334,0.558467508996917,0.40525,0.4662065129444466,0.69884078125,0.03723694775055789,0.0774111258714266,0.11724147090513662,0.10677896643311088,0.017926641754515166
One_Class_SVM,0.7050000000000001,0.5667359136298533,0.46525000000000005,0.5094724808161627,0.66790125,0.02684316590038432,0.04311164379033645,0.08245036385608011,0.06571243771466809,0.03274741335503178
