Model,Timestamp,Random_Seed,Total_Time,Flows_Processed,Flows_Per_Second,OVS_Bridge,accuracy,precision,recall,f1_score,roc_auc,total_samples,anomalies_detected,true_anomalies
Flow_Aware_LSH,20250715_102629,42,61.0071861743927,1000,16.39151160227977,br0,0.642,0.6060961313012896,0.9591836734693877,0.742816091954023,0.7394407575690501,1000,853,539
Isolation_Forest,20250715_102629,42,61.0071861743927,1000,16.39151160227977,br0,0.63,0.7682539682539683,0.4489795918367347,0.5667447306791569,0.7031660623231742,1000,315,539
One_Class_SVM,20250715_102629,42,61.0071861743927,1000,16.39151160227977,br0,0.688,0.765807962529274,0.6066790352504638,0.6770186335403726,0.7029728870447804,1000,427,539
