Model,Timestamp,Total_Time,Flows_Processed,Flows_Per_Second,OVS_Bridge,accuracy,precision,recall,f1_score,roc_auc,total_samples,anomalies_detected,true_anomalies
Flow_Aware_LSH,20250714_132457,100.44405341148376,1500,14.933686455832586,br0,0.6633333333333333,0.9585798816568047,0.39754601226993863,0.562012142237641,0.6911289239174241,1500,338,815
Isolation_Forest,20250714_132457,100.44405341148376,1500,14.933686455832586,br0,0.6226666666666667,0.7677419354838709,0.43803680981595094,0.5578125,0.6910420491693162,1500,465,815
One_Class_SVM,20250714_132457,100.44405341148376,1500,14.933686455832586,br0,0.6826666666666666,0.7738287560581584,0.5877300613496933,0.6680613668061367,0.6959339035421611,1500,619,815
